name,mass,radius,semi_major,eccentricity,period,inclination,ascending_node,longitude_periapsis,mean_longitude
Sun,1.99E+33,6.96E+10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Mercury,3.30E+26,2.44E+08,5.79E+12,2.06E-01,7.60E+06,7.01E+00,4.83E+01,7.75E+01,2.52E+02
Venus,4.87E+27,6.05E+08,1.08E+13,7.00E-03,1.94E+07,3.39E+00,7.67E+01,1.32E+02,1.82E+02
Earth,5.51E+27,6.37E+08,1.50E+13,1.70E-02,3.16E+07,5.00E-05,-1.13E+01,1.03E+02,1.01E+02
Mars,6.42E+26,3.39E+08,2.28E+13,9.30E-02,5.94E+07,1.85E+00,4.96E+01,3.36E+02,3.55E+02
Jupiter,1.90E+30,6.99E+09,7.78E+13,4.80E-02,3.74E+08,1.30E+00,1.00E+02,1.43E+01,3.44E+01
Saturn,5.68E+29,5.82E+09,1.43E+14,5.60E-02,9.29E+08,2.49E+00,1.14E+02,9.31E+01,5.01E+01
Uranus,8.68E+28,2.54E+09,2.87E+14,4.70E-02,2.65E+09,7.73E-01,7.40E+01,1.73E+02,3.14E+02
Neptune,1.02E+29,2.46E+09,4.50E+14,9.00E-03,5.20E+09,1.77E+00,1.32E+02,4.81E+01,3.04E+02
Pluto,1.30E+25,1.19E+08,5.91E+14,2.48E-01,7.82E+09,1.72E+01,1.10E+02,2.24E+02,2.39E+02